name,trait,condition,checkpoint,position,layer,depth_frac,target,rank,logprob
Maria,generous,direct,distance_0_trigger_end,16,12,0.36363636363636365,'generous' (leading-space),165,-10.042893409729004
Maria,generous,direct,distance_1_filler_end,36,12,0.36363636363636365,'generous' (leading-space),104181,-36.492279052734375
Maria,generous,direct,distance_2_filler_end,57,12,0.36363636363636365,'generous' (leading-space),12011,-21.994384765625
Maria,generous,direct,distance_3_filler_end,72,12,0.36363636363636365,'generous' (leading-space),42528,-22.373291015625
Maria,generous,direct,distance_4_filler_end,91,12,0.36363636363636365,'generous' (leading-space),12216,-15.637880325317383
Maria,generous,direct,distance_5_filler_end,109,12,0.36363636363636365,'generous' (leading-space),31080,-38.10209274291992
Maria,generous,direct,distance_6_filler_end,126,12,0.36363636363636365,'generous' (leading-space),50157,-30.851011276245117
Maria,generous,direct,distance_7_filler_end,143,12,0.36363636363636365,'generous' (leading-space),28135,-33.9725227355957
Maria,generous,direct,distance_8_filler_end,163,12,0.36363636363636365,'generous' (leading-space),95972,-77.93318939208984
Maria,generous,direct,distance_9_filler_end,178,12,0.36363636363636365,'generous' (leading-space),21272,-33.28813171386719
Maria,generous,direct,distance_10_filler_end,198,12,0.36363636363636365,'generous' (leading-space),61988,-54.016414642333984
Maria,generous,direct,reintro_sentence_end,209,12,0.36363636363636365,'generous' (leading-space),83538,-67.09017944335938
Maria,generous,direct,reintro_entity_mention,203,12,0.36363636363636365,'generous' (leading-space),43912,-35.395633697509766
Maria,generous,direct,distance_0_trigger_end,16,13,0.3939393939393939,'generous' (leading-space),192,-12.427104949951172
Maria,generous,direct,distance_1_filler_end,36,13,0.3939393939393939,'generous' (leading-space),149964,-48.65801239013672
Maria,generous,direct,distance_2_filler_end,57,13,0.3939393939393939,'generous' (leading-space),26354,-23.348705291748047
Maria,generous,direct,distance_3_filler_end,72,13,0.3939393939393939,'generous' (leading-space),51463,-22.571884155273438
Maria,generous,direct,distance_4_filler_end,91,13,0.3939393939393939,'generous' (leading-space),15174,-15.439970016479492
Maria,generous,direct,distance_5_filler_end,109,13,0.3939393939393939,'generous' (leading-space),24482,-32.48270034790039
Maria,generous,direct,distance_6_filler_end,126,13,0.3939393939393939,'generous' (leading-space),80147,-50.52396774291992
Maria,generous,direct,distance_7_filler_end,143,13,0.3939393939393939,'generous' (leading-space),37612,-26.654359817504883
Maria,generous,direct,distance_8_filler_end,163,13,0.3939393939393939,'generous' (leading-space),129087,-79.8353500366211
Maria,generous,direct,distance_9_filler_end,178,13,0.3939393939393939,'generous' (leading-space),44997,-38.081356048583984
Maria,generous,direct,distance_10_filler_end,198,13,0.3939393939393939,'generous' (leading-space),166367,-91.01883697509766
Maria,generous,direct,reintro_sentence_end,209,13,0.3939393939393939,'generous' (leading-space),73996,-49.76560592651367
Maria,generous,direct,reintro_entity_mention,203,13,0.3939393939393939,'generous' (leading-space),26088,-30.91982078552246
Maria,generous,direct,distance_0_trigger_end,16,14,0.42424242424242425,'generous' (leading-space),68,-13.257562637329102
Maria,generous,direct,distance_1_filler_end,36,14,0.42424242424242425,'generous' (leading-space),180123,-30.568859100341797
Maria,generous,direct,distance_2_filler_end,57,14,0.42424242424242425,'generous' (leading-space),17571,-20.467039108276367
Maria,generous,direct,distance_3_filler_end,72,14,0.42424242424242425,'generous' (leading-space),40272,-17.05182647705078
Maria,generous,direct,distance_4_filler_end,91,14,0.42424242424242425,'generous' (leading-space),18767,-19.90074348449707
Maria,generous,direct,distance_5_filler_end,109,14,0.42424242424242425,'generous' (leading-space),39334,-30.493009567260742
Maria,generous,direct,distance_6_filler_end,126,14,0.42424242424242425,'generous' (leading-space),161732,-54.30370330810547
Maria,generous,direct,distance_7_filler_end,143,14,0.42424242424242425,'generous' (leading-space),62520,-27.38848114013672
Maria,generous,direct,distance_8_filler_end,163,14,0.42424242424242425,'generous' (leading-space),102770,-26.73430633544922
Maria,generous,direct,distance_9_filler_end,178,14,0.42424242424242425,'generous' (leading-space),92211,-32.58781433105469
Maria,generous,direct,distance_10_filler_end,198,14,0.42424242424242425,'generous' (leading-space),191236,-52.00102233886719
Maria,generous,direct,reintro_sentence_end,209,14,0.42424242424242425,'generous' (leading-space),47533,-30.41866683959961
Maria,generous,direct,reintro_entity_mention,203,14,0.42424242424242425,'generous' (leading-space),8414,-20.624813079833984
Maria,generous,direct,distance_0_trigger_end,16,15,0.45454545454545453,'generous' (leading-space),27,-8.726758003234863
Maria,generous,direct,distance_1_filler_end,36,15,0.45454545454545453,'generous' (leading-space),71147,-31.38387680053711
Maria,generous,direct,distance_2_filler_end,57,15,0.45454545454545453,'generous' (leading-space),9322,-13.34174633026123
Maria,generous,direct,distance_3_filler_end,72,15,0.45454545454545453,'generous' (leading-space),19731,-17.15399742126465
Maria,generous,direct,distance_4_filler_end,91,15,0.45454545454545453,'generous' (leading-space),10931,-19.695772171020508
Maria,generous,direct,distance_5_filler_end,109,15,0.45454545454545453,'generous' (leading-space),13957,-26.910411834716797
Maria,generous,direct,distance_6_filler_end,126,15,0.45454545454545453,'generous' (leading-space),31813,-47.001007080078125
Maria,generous,direct,distance_7_filler_end,143,15,0.45454545454545453,'generous' (leading-space),18694,-27.65540313720703
Maria,generous,direct,distance_8_filler_end,163,15,0.45454545454545453,'generous' (leading-space),56133,-49.6401252746582
Maria,generous,direct,distance_9_filler_end,178,15,0.45454545454545453,'generous' (leading-space),31306,-24.843412399291992
Maria,generous,direct,distance_10_filler_end,198,15,0.45454545454545453,'generous' (leading-space),144586,-62.01185989379883
Maria,generous,direct,reintro_sentence_end,209,15,0.45454545454545453,'generous' (leading-space),52118,-37.9848747253418
Maria,generous,direct,reintro_entity_mention,203,15,0.45454545454545453,'generous' (leading-space),8516,-24.523595809936523
Maria,generous,direct,distance_0_trigger_end,16,16,0.48484848484848486,'generous' (leading-space),30,-8.17692756652832
Maria,generous,direct,distance_1_filler_end,36,16,0.48484848484848486,'generous' (leading-space),155364,-59.13977813720703
Maria,generous,direct,distance_2_filler_end,57,16,0.48484848484848486,'generous' (leading-space),18070,-27.05462646484375
Maria,generous,direct,distance_3_filler_end,72,16,0.48484848484848486,'generous' (leading-space),44772,-24.267057418823242
Maria,generous,direct,distance_4_filler_end,91,16,0.48484848484848486,'generous' (leading-space),21769,-23.793399810791016
Maria,generous,direct,distance_5_filler_end,109,16,0.48484848484848486,'generous' (leading-space),17802,-30.908418655395508
Maria,generous,direct,distance_6_filler_end,126,16,0.48484848484848486,'generous' (leading-space),27201,-54.37504577636719
Maria,generous,direct,distance_7_filler_end,143,16,0.48484848484848486,'generous' (leading-space),31202,-42.90977478027344
Maria,generous,direct,distance_8_filler_end,163,16,0.48484848484848486,'generous' (leading-space),51153,-47.51015853881836
Maria,generous,direct,distance_9_filler_end,178,16,0.48484848484848486,'generous' (leading-space),57063,-27.76162338256836
Maria,generous,direct,distance_10_filler_end,198,16,0.48484848484848486,'generous' (leading-space),94523,-40.809627532958984
Maria,generous,direct,reintro_sentence_end,209,16,0.48484848484848486,'generous' (leading-space),76773,-45.89132308959961
Maria,generous,direct,reintro_entity_mention,203,16,0.48484848484848486,'generous' (leading-space),10881,-31.47789764404297
Maria,generous,direct,distance_0_trigger_end,16,17,0.5151515151515151,'generous' (leading-space),36,-6.792989730834961
Maria,generous,direct,distance_1_filler_end,36,17,0.5151515151515151,'generous' (leading-space),66157,-26.39905548095703
Maria,generous,direct,distance_2_filler_end,57,17,0.5151515151515151,'generous' (leading-space),12410,-17.572261810302734
Maria,generous,direct,distance_3_filler_end,72,17,0.5151515151515151,'generous' (leading-space),18479,-16.433273315429688
Maria,generous,direct,distance_4_filler_end,91,17,0.5151515151515151,'generous' (leading-space),9803,-22.606674194335938
Maria,generous,direct,distance_5_filler_end,109,17,0.5151515151515151,'generous' (leading-space),17520,-24.906835556030273
Maria,generous,direct,distance_6_filler_end,126,17,0.5151515151515151,'generous' (leading-space),16396,-31.256067276000977
Maria,generous,direct,distance_7_filler_end,143,17,0.5151515151515151,'generous' (leading-space),14102,-32.37940216064453
Maria,generous,direct,distance_8_filler_end,163,17,0.5151515151515151,'generous' (leading-space),25719,-24.779077529907227
Maria,generous,direct,distance_9_filler_end,178,17,0.5151515151515151,'generous' (leading-space),23935,-20.519468307495117
Maria,generous,direct,distance_10_filler_end,198,17,0.5151515151515151,'generous' (leading-space),30928,-23.80333137512207
Maria,generous,direct,reintro_sentence_end,209,17,0.5151515151515151,'generous' (leading-space),37770,-25.001571655273438
Maria,generous,direct,reintro_entity_mention,203,17,0.5151515151515151,'generous' (leading-space),7825,-27.816919326782227
Maria,generous,direct,distance_0_trigger_end,16,18,0.5454545454545454,'generous' (leading-space),31,-7.420897006988525
Maria,generous,direct,distance_1_filler_end,36,18,0.5454545454545454,'generous' (leading-space),77927,-36.51119613647461
Maria,generous,direct,distance_2_filler_end,57,18,0.5454545454545454,'generous' (leading-space),15918,-20.466064453125
Maria,generous,direct,distance_3_filler_end,72,18,0.5454545454545454,'generous' (leading-space),18740,-18.697412490844727
Maria,generous,direct,distance_4_filler_end,91,18,0.5454545454545454,'generous' (leading-space),15420,-31.794904708862305
Maria,generous,direct,distance_5_filler_end,109,18,0.5454545454545454,'generous' (leading-space),22240,-33.15492630004883
Maria,generous,direct,distance_6_filler_end,126,18,0.5454545454545454,'generous' (leading-space),28000,-49.50035095214844
Maria,generous,direct,distance_7_filler_end,143,18,0.5454545454545454,'generous' (leading-space),23378,-55.529781341552734
Maria,generous,direct,distance_8_filler_end,163,18,0.5454545454545454,'generous' (leading-space),31663,-31.27736473083496
Maria,generous,direct,distance_9_filler_end,178,18,0.5454545454545454,'generous' (leading-space),28060,-26.024446487426758
Maria,generous,direct,distance_10_filler_end,198,18,0.5454545454545454,'generous' (leading-space),37866,-34.78054428100586
Maria,generous,direct,reintro_sentence_end,209,18,0.5454545454545454,'generous' (leading-space),51726,-33.60065460205078
Maria,generous,direct,reintro_entity_mention,203,18,0.5454545454545454,'generous' (leading-space),11193,-32.11933517456055
Maria,generous,direct,distance_0_trigger_end,16,19,0.5757575757575758,'generous' (leading-space),23,-7.686314582824707
Maria,generous,direct,distance_1_filler_end,36,19,0.5757575757575758,'generous' (leading-space),70394,-31.34002113342285
Maria,generous,direct,distance_2_filler_end,57,19,0.5757575757575758,'generous' (leading-space),17084,-26.88372039794922
Maria,generous,direct,distance_3_filler_end,72,19,0.5757575757575758,'generous' (leading-space),20084,-18.260318756103516
Maria,generous,direct,distance_4_filler_end,91,19,0.5757575757575758,'generous' (leading-space),17379,-31.896724700927734
Maria,generous,direct,distance_5_filler_end,109,19,0.5757575757575758,'generous' (leading-space),27353,-38.95677185058594
Maria,generous,direct,distance_6_filler_end,126,19,0.5757575757575758,'generous' (leading-space),29592,-62.125396728515625
Maria,generous,direct,distance_7_filler_end,143,19,0.5757575757575758,'generous' (leading-space),32165,-66.01107788085938
Maria,generous,direct,distance_8_filler_end,163,19,0.5757575757575758,'generous' (leading-space),29619,-30.62963104248047
Maria,generous,direct,distance_9_filler_end,178,19,0.5757575757575758,'generous' (leading-space),30755,-24.397918701171875
Maria,generous,direct,distance_10_filler_end,198,19,0.5757575757575758,'generous' (leading-space),39741,-38.81704330444336
Maria,generous,direct,reintro_sentence_end,209,19,0.5757575757575758,'generous' (leading-space),56863,-30.378149032592773
